b,39,5,u,g,cc,v,3.5,t,t,10,t,g,0,0
a,64.08,0.165,u,g,ff,ff,0,t,t,1,f,g,232,100
b,28.25,5.125,u,g,x,v,4.75,t,t,2,f,g,420,7
a,28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,371,0
b,31.33,19.5,u,g,c,v,7,t,t,16,f,g,0,5000
a,18.92,9,u,g,aa,v,0.75,t,t,2,f,g,88,591
a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,0,500
a,30.67,12,u,g,c,v,2,t,t,1,f,g,220,19
b,21,4.79,y,p,w,v,2.25,t,t,1,t,g,80,300
b,13.75,4,y,p,w,v,1.75,t,t,2,t,g,120,1000
a,46,4,u,g,j,j,0,t,f,0,f,g,100,960
a,44.33,0,u,g,c,v,2.5,t,f,0,f,g,0,0
b,20.25,9.96,u,g,e,dd,0,t,f,0,f,g,0,0
b,22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,0,0
b,?,10.5,u,g,x,v,6.5,t,f,0,f,g,0,0
a,60.92,5,u,g,aa,v,4,t,t,4,f,g,0,99
b,16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,352,690
a,28.17,0.375,u,g,q,v,0.585,t,t,4,f,g,80,0
b,39.17,1.71,u,g,x,v,0.125,t,t,5,t,g,480,0
?,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160,234
a,30,5.29,u,g,e,dd,2.25,t,t,5,t,g,99,500
b,22.83,3,u,g,m,v,1.29,t,t,1,f,g,260,800
a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,80,990
a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,440,0
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,140,0
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,160,0
a,57.08,0.335,u,g,i,bb,1,t,f,0,t,g,252,2197
a,55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,100,50
b,43.25,25.21,u,g,q,h,0.21,t,t,1,f,g,760,90
a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,360,1
a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,400,0
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,560,0
b,40.92,0.835,u,g,ff,ff,0,t,f,0,f,g,130,1
b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,523,0
a,33.92,1.585,y,p,ff,ff,0,t,f,0,f,g,320,0
a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,80,0
b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,680,0
b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163,0
b,80.25,5.5,u,g,?,?,0.54,t,f,0,f,g,0,340
b,19.42,1.5,y,p,cc,v,2,t,f,0,t,g,100,20
b,42.75,3,u,g,i,bb,1,t,f,0,f,g,0,200
b,19.67,10,y,p,k,h,0.835,t,f,0,t,g,140,0
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,200,0
b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,132,28
b,44.25,11,y,p,d,v,1.5,t,f,0,f,s,0,0
b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,208,347
b,23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,200,327
b,33.17,1,u,g,x,v,0.75,t,t,7,t,g,340,4071
b,48.33,12,u,g,m,v,16,t,f,0,f,s,110,0
